gene_id,carbon_source,fitness,gene_index,carbon_index
b3455,ser__D,8.5185,988,21
b3456,ser__D,8.482,989,21
b3457,ser__D,8.204,990,21
b3454,ser__D,8.163,987,21
b3460,ser__D,5.8265,1311,21
b3806,ser__D,5.117,1098,21
b3458,ser__D,4.877,991,21
b3844,ser__D,4.645,1104,21
b3032,glyclt,3.4065,902,13
b3199,ac,3.3205,934,0
b0677,gal,3.2435,197,6
b1095,ser__D,2.959,330,21
b4014,glyclt,2.9455,1158,13
b3752,mal__L,2.8615000000000004,1088,15
b3752,succ,2.6455,1088,22
b4146,rib__D,2.6195000000000004,1218,19
b3248,glyclt,2.433,945,13
b4146,mal__L,2.4210000000000003,1218,15
b3752,akg,2.3810000000000002,1088,2
b2903,glyclt,2.3215,858,13
b2976,glyclt,2.2885,884,13
b2904,glyclt,2.278,859,13
b4239,glyclt,2.2405,1247,13
b4071,akg,2.2235,1180,2
b2587,ser__D,2.208,778,21
b3032,mal__L,2.199,902,15
b4146,succ,2.1955,1218,22
b3199,mal__L,2.172,934,15
b3199,akg,2.1635,934,2
b3752,ac,2.1555,1088,0
b1095,ac,2.0915,330,0
b0114,ac,2.078,34,0
b3670,glcur,2.0695,1065,11
b2784,glcur,2.0229999999999997,823,11
b4146,akg,2.0195,1218,2
