run_id,seed,initial_biomass,final_biomass,improvement_pct,n_iterations,median_fold_change,mean_fold_change,std_fold_change,n_increased,n_decreased
run_01,0,0.0229917133376624,0.7415845701949,3125.4428337018317,186,12.744854382968082,79.647552646026,2177.5456673032654,4832,1
run_02,1,0.0229917133376624,0.743448804259576,3133.551120532384,152,12.210963779529328,78.29833518833848,2173.3516719500385,4832,1
run_03,2,0.0229917133376624,0.744464488694029,3137.968731432174,214,13.127186142928746,79.9238367999737,2175.270091742145,4832,1
run_04,3,0.0229917133376624,0.743560276713817,3134.0359580588606,149,12.082714719019673,78.10310140458745,2177.4498281879455,4832,1
run_05,4,0.0229917133376624,0.744575844857955,3138.453063166354,217,12.905086055307393,80.04824738172043,2177.5713422772005,4832,1
run_06,5,0.0229917133376624,0.743947929535368,3135.722012577103,147,12.082714719019673,68.62437997872884,1241.441570956796,4832,1
run_07,6,0.0229917133376624,0.74335708918083,3133.1522155991192,150,12.339477064764308,78.30768086691435,2177.5100563076035,4832,1
run_08,7,0.0229917133376624,0.744241446017502,3136.9986311475564,200,12.793439857881085,79.86008936954588,2177.5673964188086,4832,1
run_09,8,0.0229917133376624,0.744062469165309,3136.2201904564936,176,12.801452306287702,79.3512096330583,2177.557694079416,4832,1
run_10,9,0.0229917133376624,0.743954020602815,3135.7485050240016,168,12.743356716069606,79.41689666559776,2177.558242038649,4830,3
